Trigger Count=4820	Output Count=20	Elapsed Time=05:00.057	Number of Pulses CH0=2	Number of Pulses CH1=0
 rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.3500	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.1000	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.420000E-6	0.326500	6.568749E-8	6.628000E-6	0.077683	5.726536E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.293676	6.839901E-8	6.864000E-6	0.043205	6.110704E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.240475	7.272912E-8	1.501200E-5	0.261689	6.584059E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.219006	7.092536E-8	1.044000E-5	0.132021	6.518808E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.224634	6.777995E-8	1.458000E-5	0.335107	6.421331E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.211892	6.146947E-8	1.816800E-5	0.203336	6.178904E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.271080	6.381142E-8	1.046000E-5	0.000915	8.606557E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.270577	6.348473E-8	6.652000E-6	0.054057	7.106692E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.357956	6.234741E-8	6.536000E-6	0.036318	5.502951E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.304812	6.456731E-8	6.968000E-6	0.079318	6.005272E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.278848	6.593332E-8	1.288000E-5	0.135386	7.094376E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.380000E-6	0.583100	8.503346E-8	1.242400E-5	0.249464	6.857678E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.214674	6.666804E-8	3.487200E-5	0.091716	6.536127E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.323337	6.372569E-8	8.388000E-6	0.267272	6.243294E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.316649	6.499538E-8	1.096800E-5	0.067901	6.097249E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.297811	6.394380E-8	7.400000E-6	0.051361	6.944364E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.279621	6.500200E-8	8.388000E-6	0.067085	6.703313E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.208087	6.631854E-8	6.692000E-6	0.071421	6.167602E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.203499	6.435301E-8	7.248000E-6	0.048421	5.538890E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.294710	6.546004E-8	8.752000E-6	0.066331	6.214958E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
