Trigger Count=241	Output Count=14	Elapsed Time=01:22.347	Number of Pulses CH0=2	Number of Pulses CH1=0
e rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.6000	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.432000E-6	0.415213	6.439356E-8	1.067200E-5	0.085984	7.659710E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.450665	6.456748E-8	6.668000E-6	0.021381	5.552972E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.463125	6.680803E-8	6.676000E-6	0.025790	5.538975E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.392000E-6	0.616500	9.368483E-8	6.828000E-6	0.025613	5.614475E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.516075	7.214929E-8	6.568000E-6	0.019861	5.220167E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.457118	6.950588E-8	6.888000E-6	0.021800	5.338569E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.382437	6.337662E-8	7.696000E-6	0.029624	5.675890E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.533042	7.022897E-8	6.492000E-6	0.024640	5.476953E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.471336	6.776340E-8	6.972000E-6	0.019787	5.288442E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.355145	6.154577E-8	6.644000E-6	0.030801	7.840311E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.446318	6.531080E-8	6.616000E-6	0.030085	5.541210E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.359629	6.399889E-8	6.660000E-6	0.019386	5.275085E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.398353	6.117376E-8	6.808000E-6	0.029340	5.344888E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.499794	7.274970E-8	1.401600E-5	0.044387	5.847243E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
