Trigger Count=1575	Output Count=50	Elapsed Time=10:00.471	Number of Pulses CH0=2	Number of Pulses CH1=0
 rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.6000	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.412000E-6	0.538277	7.505070E-8	7.084000E-6	0.013405	6.436154E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.378787	6.117128E-8	6.636000E-6	0.033551	5.992576E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.400236	6.214235E-8	6.588000E-6	0.018104	5.585860E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.398293	6.927276E-8	6.832000E-6	0.043093	6.588803E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.452783	6.648038E-8	7.832000E-6	0.021748	5.401316E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.383922	6.514230E-8	6.628000E-6	0.049662	6.363436E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.353167	6.301642E-8	6.932000E-6	0.045076	6.212524E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.441469	6.446415E-8	9.292000E-6	0.023145	5.678179E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.428726	6.715719E-8	6.792000E-6	0.018159	5.632499E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.409573	6.512451E-8	6.484000E-6	0.031092	8.395515E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.397954	6.215300E-8	7.364000E-6	0.014930	4.965483E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
