Trigger Count=482	Output Count=15	Elapsed Time=03:03.754	Number of Pulses CH0=2	Number of Pulses CH1=0
e rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.6000	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.432000E-6	0.381192	6.574359E-8	6.692000E-6	0.024269	5.976401E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.474899	6.919459E-8	6.604000E-6	0.080820	6.696788E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.457800	7.040325E-8	6.980000E-6	0.034435	5.439799E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.424160	6.266234E-8	1.016400E-5	0.026525	5.521697E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.394280	6.322618E-8	6.620000E-6	0.014512	5.184419E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.383324	6.281827E-8	6.556000E-6	0.030056	5.385270E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.439663	6.493813E-8	6.628000E-6	0.058165	5.427092E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.438458	7.644682E-8	6.688000E-6	0.034171	5.722989E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.537664	7.942216E-8	6.580000E-6	0.018270	5.689342E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.348814	6.366688E-8	6.684000E-6	0.017965	2.152698E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.400786	6.809160E-8	1.303600E-5	0.275804	6.604584E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.335129	6.726672E-8	6.784000E-6	0.021445	5.365525E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.503872	7.080518E-8	6.804000E-6	0.020055	5.993039E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.398193	6.231580E-8	6.664000E-6	0.061592	7.054993E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.400655	6.301844E-8	7.816000E-6	0.052721	6.160628E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
