Trigger Count=3814	Output Count=29	Elapsed Time=03:58.897	Number of Pulses CH0=2	Number of Pulses CH1=0
 rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.3500	Channel 0 threshold (V)=0.1000	Channel 1 threshold (V)=0.1000	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.416000E-6	0.406930	6.162675E-8	2.142800E-5	0.181362	6.147941E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.266764	6.528918E-8	7.348000E-6	0.087766	6.217497E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.261728	6.434789E-8	6.712000E-6	0.096928	5.984520E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.330723	6.344797E-8	1.207600E-5	0.050670	6.091863E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000E-6	0.542911	7.439719E-8	6.568000E-6	0.036924	5.508458E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.275304	5.757720E-8	8.092000E-6	0.077731	6.426744E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.221324	5.996946E-8	6.628000E-6	0.039723	5.432420E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.275398	6.288635E-8	3.883200E-5	-0.003370	4.575595E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.275464	7.330455E-8	1.736400E-5	0.076971	5.995701E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.235191	6.558518E-8	7.188000E-6	0.052283	5.605902E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.393390	6.432192E-8	2.267600E-5	0.235745	6.391829E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.399509	6.250318E-8	7.832000E-6	0.002160	3.466464E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.353744	6.953324E-8	6.520000E-6	0.062383	6.294277E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.322312	6.805217E-8	2.408000E-5	0.094341	6.084070E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.261402	6.631295E-8	8.288000E-6	0.126525	6.452649E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.300430	7.362422E-8	1.980000E-5	0.109148	6.737209E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.392000E-6	0.525074	7.723228E-8	7.064000E-6	0.047706	5.620105E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.314912	6.645440E-8	8.416000E-6	0.124689	6.012270E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.263042	6.717523E-8	7.924000E-6	0.057598	6.071622E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.289516	6.386707E-8	6.700000E-6	0.057017	5.803481E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.248148	6.664072E-8	9.956000E-6	0.060671	6.169176E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.334501	6.324510E-8	7.664000E-6	0.057768	6.770344E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.233249	6.476375E-8	7.168000E-6	0.101736	6.422108E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.324202	6.488765E-8	9.960000E-6	0.064338	5.760347E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.241828	7.403009E-8	4.189600E-5	0.071015	6.181968E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.223996	6.772200E-8	8.196000E-6	0.049143	5.801056E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.261721	6.713742E-8	6.472000E-6	0.046872	5.638322E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.281288	6.493167E-8	6.940000E-6	0.128183	6.577579E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.239608	6.974056E-8	7.984000E-6	0.074037	6.962804E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
