Trigger Count=646	Output Count=21	Elapsed Time=04:05.910	Number of Pulses CH0=2	Number of Pulses CH1=0
e rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.6000	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.360000E-6	0.644978	1.319451E-7	6.548000E-6	0.029008	7.965761E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.391497	6.834896E-8	6.932000E-6	0.028192	5.435099E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.520298	7.264922E-8	6.640000E-6	0.026083	5.722089E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.430318	6.964429E-8	7.996000E-6	0.018009	5.609488E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.512157	7.395655E-8	6.880000E-6	0.013731	6.286133E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.353188	6.182952E-8	6.916000E-6	0.021868	5.778863E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.389952	6.993585E-8	6.656000E-6	0.028145	5.467657E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.432347	6.840511E-8	6.652000E-6	0.039743	5.669212E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.365434	6.259830E-8	7.608000E-6	0.056980	5.767165E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.426888	6.523305E-8	6.564000E-6	0.016988	5.099075E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.431193	6.336039E-8	7.012000E-6	0.031758	5.573412E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.428582	6.687986E-8	6.692000E-6	0.019480	5.531691E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.410709	6.351730E-8	6.808000E-6	0.026270	5.403365E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.329389	6.141905E-8	6.552000E-6	0.026338	6.487019E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.370036	6.308523E-8	6.636000E-6	0.036457	5.594007E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.355966	6.747964E-8	6.768000E-6	0.024040	5.806151E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.412251	6.372047E-8	8.976000E-6	0.027698	5.845586E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.501484	6.866095E-8	6.876000E-6	0.026164	5.731946E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.414066	6.387118E-8	6.652000E-6	0.034174	5.392061E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.368202	6.590677E-8	6.544000E-6	0.007294	7.135345E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.457760	6.548222E-8	6.588000E-6	0.025786	5.753665E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
