Trigger Count=836	Output Count=41	Elapsed Time=05:00.321	Number of Pulses CH0=2	Number of Pulses CH1=0
e rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.6000	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.424000E-6	0.425947	6.557093E-8	6.620000E-6	0.016167	1.145806E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.349440	6.710616E-8	4.523200E-5	0.101038	7.605536E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.412196	6.906426E-8	4.475600E-5	0.033808	7.347362E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.378661	6.556740E-8	7.496000E-6	0.023647	5.603714E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.550852	7.287949E-8	6.604000E-6	0.023622	5.659836E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.482166	6.662340E-8	6.572000E-6	0.016802	5.540378E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.350697	6.347836E-8	6.760000E-6	0.016173	4.909096E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.368000E-6	0.641429	1.251286E-7	8.560000E-6	0.029388	5.795485E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.402829	6.535926E-8	6.564000E-6	0.020071	5.505529E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.606932	9.814622E-8	6.616000E-6	0.023700	6.085286E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.441055	6.678719E-8	6.572000E-6	0.019863	5.893997E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.367263	6.212381E-8	6.832000E-6	0.021720	5.230629E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.450390	7.289931E-8	6.852000E-6	0.021250	5.213572E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.395046	6.320714E-8	6.652000E-6	0.028479	5.406979E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.361195	6.236759E-8	7.024000E-6	0.029579	5.425511E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.416941	6.658282E-8	6.560000E-6	0.024520	5.330961E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.412001	7.019084E-8	7.056000E-6	0.031386	5.526760E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.435095	6.763224E-8	7.092000E-6	0.022726	5.493255E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.339734	6.705770E-8	6.944000E-6	0.022703	5.274037E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.502070	7.083001E-8	6.612000E-6	0.023408	5.521046E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.356000E-6	0.644530	1.438916E-7	6.576000E-6	0.016613	5.296250E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.434063	6.489333E-8	6.648000E-6	0.025077	5.546976E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.405548	6.449847E-8	3.420800E-5	0.144492	6.361567E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.404193	6.747503E-8	6.628000E-6	0.019315	5.419558E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.395067	6.402054E-8	6.764000E-6	0.018504	5.261639E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.364029	6.254368E-8	6.660000E-6	0.023128	7.559736E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.402294	6.539346E-8	6.724000E-6	0.016560	5.427998E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.299823	6.211545E-8	1.401200E-5	0.086010	7.654663E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.435305	6.575646E-8	6.892000E-6	0.019667	5.327395E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.377558	6.504649E-8	7.108000E-6	0.020169	5.496401E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.470986	6.571359E-8	6.748000E-6	0.023178	6.554822E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.428811	6.438724E-8	6.576000E-6	0.026001	5.447488E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.498605	7.427924E-8	6.764000E-6	0.024884	5.603732E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.413861	6.363607E-8	6.768000E-6	0.027529	5.562672E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.358626	6.125337E-8	1.149600E-5	0.059395	6.862448E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.390859	6.441974E-8	7.000000E-6	0.025718	5.393807E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.440117	6.451053E-8	1.331200E-5	0.018432	5.495467E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.373163	6.411130E-8	7.316000E-6	0.037654	8.631986E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.383989	6.040907E-8	1.735200E-5	0.288692	6.823170E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.570534	8.266561E-8	8.892000E-6	0.010906	1.261703E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.397664	6.395820E-8	7.412000E-6	0.036513	5.743556E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
