Trigger Count=16416	Output Count=7894	Elapsed Time=01:00:00.134	Number of Pulses CH0=2	Number of Pulses CH1=0
(Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.3500	Channel 0 threshold (V)=0.0425	Channel 1 threshold (V)=0.0200	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.416000E-6	0.357819	6.329493E-8	1.413200E-5	0.168031	1.004040E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.296323	6.373180E-8	2.917600E-5	0.168542	1.003523E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.252547	6.292483E-8	1.554400E-5	0.167903	9.968669E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.414061	7.402005E-8	4.022000E-5	0.168767	1.005606E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.215511	6.039335E-8	2.565600E-5	0.167360	9.949579E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.245307	6.565707E-8	2.418400E-5	0.169273	9.942427E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.208088	6.374247E-8	2.957200E-5	0.170809	9.973637E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.203240	6.378341E-8	3.056000E-5	0.168233	9.999456E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.233111	6.911716E-8	3.379600E-5	0.168376	1.012073E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.225194	6.619474E-8	2.442400E-5	0.167691	1.001025E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.240647	6.623846E-8	6.852000E-6	0.164866	1.000280E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.237186	6.339116E-8	1.556400E-5	0.169294	1.000806E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.258558	6.396809E-8	3.218800E-5	0.169873	9.982726E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.232894	6.704688E-8	3.532400E-5	0.169722	9.890025E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.245500	6.529402E-8	2.838800E-5	0.168179	9.986850E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.302755	6.223552E-8	1.758800E-5	0.169726	9.995959E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.220731	6.417522E-8	2.953200E-5	0.169547	9.920855E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.223065	6.390991E-8	1.831600E-5	0.169545	9.979867E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.240459	7.010605E-8	1.438800E-5	0.167439	9.959936E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.198216	5.979961E-8	1.106400E-5	0.167960	1.002533E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.235066	6.715389E-8	3.818800E-5	0.167945	1.003114E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.205164	5.868130E-8	2.251600E-5	0.169298	1.002077E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.245227	6.369377E-8	2.613600E-5	0.168507	9.984346E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.528358	7.133082E-8	4.165600E-5	0.168471	9.994216E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.299142	6.542646E-8	1.352800E-5	0.167394	9.919194E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.234072	6.246780E-8	4.238000E-5	0.169244	9.960681E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.221488	6.036983E-8	3.585600E-5	0.169778	1.000208E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.226375	6.588241E-8	1.248000E-5	0.169124	9.977468E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.233494	6.903385E-8	1.785600E-5	0.167323	1.001604E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.281244	6.570680E-8	3.755600E-5	0.169080	9.975671E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.233597	6.076402E-8	2.862800E-5	0.168568	9.976327E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.222999	6.872657E-8	3.556800E-5	0.169329	9.942276E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.239943	6.877879E-8	1.686800E-5	0.168373	1.003543E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.193651	6.323968E-8	1.448000E-5	0.167197	1.004037E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.219594	6.363420E-8	3.616800E-5	0.170628	1.001565E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.249851	6.705877E-8	2.402800E-5	0.168644	1.004288E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.223545	6.542638E-8	3.670800E-5	0.168947	1.005129E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.255152	6.190063E-8	3.465200E-5	0.168092	9.906532E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.241210	6.133226E-8	2.829600E-5	0.166503	9.971958E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.281685	6.541415E-8	2.698400E-5	0.167213	9.914910E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.279781	6.281283E-8	3.650800E-5	0.168718	9.948415E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.416713	6.276843E-8	2.216400E-5	0.169567	9.936098E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.226397	6.779822E-8	4.494800E-5	0.169492	9.944637E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.252199	6.336435E-8	2.869600E-5	0.169859	9.976575E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.193947	6.370308E-8	2.684000E-5	0.168321	9.964926E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.244645	6.410426E-8	3.806400E-5	0.168313	1.007013E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.256594	6.136534E-8	4.382800E-5	0.169373	9.990962E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.271899	6.402508E-8	3.977600E-5	0.169184	9.977262E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.261751	6.429163E-8	3.300800E-5	0.167658	9.992767E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.320273	6.520168E-8	2.959200E-5	0.168111	9.966264E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.195050	6.358940E-8	1.536800E-5	0.168809	9.996540E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.262692	6.837335E-8	1.776800E-5	0.168465	1.000999E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.285798	6.265691E-8	3.063600E-5	0.168700	1.004047E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.403140	6.530205E-8	1.286400E-5	0.167904	1.000742E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.250230	6.518258E-8	1.165200E-5	0.165928	9.966676E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.262604	6.378673E-8	2.269600E-5	0.168687	1.004012E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.239769	7.203796E-8	9.772000E-6	0.168071	9.985021E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.218331	6.099791E-8	1.832800E-5	0.167591	1.008787E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.223229	6.829675E-8	1.748000E-5	0.168811	1.006212E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.299857	6.192900E-8	3.612800E-5	0.166821	9.970012E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.223772	6.710160E-8	2.634000E-5	0.169820	1.002396E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.242622	6.230743E-8	3.048400E-5	0.168762	9.991746E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.258471	6.899554E-8	2.588400E-5	0.170372	9.946015E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.247216	6.843948E-8	3.654400E-5	0.170441	9.964249E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.225358	6.738252E-8	2.136800E-5	0.168718	9.971349E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.237772	6.855416E-8	3.537200E-5	0.167579	1.001071E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.324022	6.256724E-8	3.023200E-5	0.169892	9.972497E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.229714	7.143676E-8	3.747200E-5	0.169810	1.000646E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.279073	6.565910E-8	2.819200E-5	0.169088	1.000449E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.232443	6.473080E-8	1.824800E-5	0.169655	9.907153E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.300440	6.349596E-8	1.010000E-5	0.168974	9.949619E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.385314	6.449552E-8	2.714000E-5	0.167881	1.005238E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.252765	6.034513E-8	2.398800E-5	0.169708	1.001725E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.195454	6.861953E-8	8.736000E-6	0.038426	5.822088E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.322241	6.366573E-8	8.076000E-6	0.168505	9.973695E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.259029	6.400555E-8	4.255600E-5	0.169030	1.002151E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.466891	6.760927E-8	2.982800E-5	0.169356	9.991987E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.221987	6.062446E-8	1.635200E-5	0.169767	1.000552E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.365390	6.579353E-8	3.296400E-5	0.169201	9.956945E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.250447	6.544660E-8	2.742000E-5	0.169595	9.970930E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.320628	6.763388E-8	4.439200E-5	0.169995	9.928177E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.345892	6.257933E-8	2.415200E-5	0.168359	9.936773E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.231460	5.912205E-8	1.512400E-5	0.169697	9.948663E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.252361	6.588179E-8	1.758800E-5	0.168998	9.968343E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.248505	6.698258E-8	7.696000E-6	0.168550	9.967864E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.236188	6.531262E-8	4.060800E-5	0.168320	1.001087E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.248400	6.587905E-8	1.980400E-5	0.169055	9.986346E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.225248	6.272481E-8	2.586000E-5	0.170719	1.001838E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.241884	6.514953E-8	1.335600E-5	0.169295	9.959911E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.448000E-6	0.301772	6.572943E-8	2.510800E-5	0.168297	9.921979E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.259543	6.051342E-8	3.158800E-5	0.169626	1.004059E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.253950	6.644481E-8	1.162000E-5	0.168128	9.946706E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.236959	6.836996E-8	3.814000E-5	0.170138	1.001975E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.217416	5.922766E-8	6.968000E-6	0.167688	9.940844E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.312880	7.228790E-8	1.471200E-5	0.166457	1.000501E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.240929	7.170676E-8	1.518400E-5	0.168443	9.989447E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.256562	6.457747E-8	2.934800E-5	0.169549	9.998992E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.229766	6.031395E-8	1.507600E-5	0.168415	9.993531E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.229220	6.893753E-8	2.452800E-5	0.168165	9.987598E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.250701	7.134094E-8	1.012800E-5	0.169071	9.976405E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.277150	7.022250E-8	2.190400E-5	0.168856	9.980934E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.274023	6.783680E-8	1.772000E-5	0.168903	9.976836E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.285934	6.130976E-8	4.419600E-5	0.169872	9.992072E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.231541	6.216566E-8	4.066000E-5	0.169414	1.005551E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.310072	6.454031E-8	2.831600E-5	0.166810	1.002328E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.223754	6.080478E-8	3.809600E-5	0.168432	1.005156E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.227914	6.471159E-8	3.622400E-5	0.169041	9.940707E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.234823	6.456137E-8	3.919600E-5	0.169509	9.990302E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.245044	6.336448E-8	3.481600E-5	0.169017	1.001935E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.230505	6.408472E-8	2.140400E-5	0.167652	1.007132E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.228643	6.848542E-8	3.697600E-5	0.169513	9.986926E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.198348	6.413947E-8	3.436400E-5	0.169009	1.000377E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.224230	6.116558E-8	2.793200E-5	0.169203	9.979515E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.265305	6.940035E-8	3.685600E-5	0.168417	9.955056E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.235039	6.741047E-8	2.097200E-5	0.168062	9.993639E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.505620	7.102450E-8	3.381200E-5	0.167942	9.956979E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.290385	6.595769E-8	1.387200E-5	0.169522	9.999583E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.509476	6.813116E-8	1.249600E-5	0.167683	9.915206E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.274665	6.440234E-8	3.166800E-5	0.169797	9.990717E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.233719	5.850562E-8	3.054800E-5	0.169794	1.005275E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.246586	6.309311E-8	2.273200E-5	0.168244	1.004967E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.263760	6.502073E-8	4.447600E-5	0.170302	9.956721E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.232692	6.299303E-8	4.415600E-5	0.169785	1.002203E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.287485	6.341168E-8	3.252000E-5	0.169569	9.954448E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.366892	6.221377E-8	7.468000E-6	0.165293	9.895201E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.265575	6.449209E-8	2.870800E-5	0.168695	1.009998E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.292703	6.804491E-8	1.346800E-5	0.169648	1.001404E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.205224	6.206503E-8	1.223200E-5	0.169006	9.850407E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.214254	6.213735E-8	2.869600E-5	0.169717	9.978913E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.218374	6.509504E-8	2.328800E-5	0.167491	9.901909E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.224832	6.649250E-8	2.838800E-5	0.167952	1.006555E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.267810	6.816551E-8	2.154800E-5	0.168651	1.004228E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.265196	6.846626E-8	1.386800E-5	0.167692	9.951766E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.550683	7.549240E-8	2.853200E-5	0.168531	9.966692E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.279490	6.214596E-8	3.528400E-5	0.169609	9.999889E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.207398	6.105951E-8	2.696000E-5	0.168327	1.003016E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.312145	6.583135E-8	2.755600E-5	0.169491	1.003729E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.243830	6.673962E-8	1.274400E-5	0.168954	1.002186E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.230878	6.585711E-8	3.516000E-5	0.169683	9.977141E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.188948	6.170299E-8	1.272000E-5	0.169478	9.950427E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.390278	6.364727E-8	6.612000E-6	0.025051	5.522998E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.375477	6.466113E-8	1.474800E-5	0.168804	9.913797E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.240343	6.104745E-8	9.680000E-6	0.167655	9.886740E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.230118	6.431231E-8	6.816000E-6	0.017230	5.706727E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.203372	6.361064E-8	2.893200E-5	0.168225	9.963663E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.218584	5.990257E-8	2.946800E-5	0.168232	1.011430E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.233706	6.421772E-8	1.639600E-5	0.169023	1.004006E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.250939	6.606663E-8	1.505200E-5	0.169088	9.934785E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.251324	6.162057E-8	3.078800E-5	0.170436	9.976504E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.235293	6.560912E-8	3.727200E-5	0.168868	9.982945E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.227083	6.868049E-8	8.288000E-6	0.044199	6.042613E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.215243	6.091904E-8	1.927600E-5	0.171056	9.914947E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.230089	6.569831E-8	7.696000E-6	0.166585	9.943020E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.259695	6.195902E-8	2.985200E-5	0.169206	9.889797E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.319306	6.334907E-8	7.556000E-6	0.168457	1.003593E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.302160	7.089002E-8	1.826800E-5	0.167817	9.994452E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.258129	6.569520E-8	1.660000E-5	0.166599	9.977907E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.224075	6.279253E-8	2.676800E-5	0.168959	1.002251E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.267735	6.763683E-8	3.950000E-5	0.168740	1.000896E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.280584	6.391123E-8	1.337200E-5	0.169037	1.002198E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.242745	7.179504E-8	1.979200E-5	0.168309	9.965050E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.334900	6.643707E-8	4.346800E-5	0.169639	9.919659E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.381191	6.790615E-8	3.008800E-5	0.169912	1.001209E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.215307	6.506871E-8	3.258400E-5	0.167845	9.912896E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.294676	6.589011E-8	1.286800E-5	0.167747	9.947195E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
