Trigger Count=4213	Output Count=156	Elapsed Time=04:21.443	Number of Pulses CH0=1	Number of Pulses CH1=1
rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.3500	Channel 0 threshold (V)=0.0425	Channel 1 threshold (V)=0.0200	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.432000E-6	0.250791	6.290018E-8	0.000000	0.000000	0.000000	5.452000E-6	0.039557	6.954190E-8	0.000000	0.000000	0.000000
5.408000E-6	0.400561	7.856473E-8	0.000000	0.000000	0.000000	5.448000E-6	0.018467	5.991297E-8	0.000000	0.000000	0.000000
5.408000E-6	0.453182	6.721425E-8	0.000000	0.000000	0.000000	5.440000E-6	0.019964	6.475104E-8	0.000000	0.000000	0.000000
5.424000E-6	0.307311	6.342771E-8	0.000000	0.000000	0.000000	5.448000E-6	0.021535	6.683700E-8	0.000000	0.000000	0.000000
5.424000E-6	0.309601	6.608174E-8	0.000000	0.000000	0.000000	5.448000E-6	0.042928	6.523458E-8	0.000000	0.000000	0.000000
5.408000E-6	0.433331	6.625021E-8	0.000000	0.000000	0.000000	5.432000E-6	0.022009	6.978983E-8	0.000000	0.000000	0.000000
5.408000E-6	0.387803	6.522928E-8	0.000000	0.000000	0.000000	5.440000E-6	0.013766	5.535395E-8	0.000000	0.000000	0.000000
5.412000E-6	0.413672	6.534002E-8	0.000000	0.000000	0.000000	5.436000E-6	0.042115	7.452098E-8	0.000000	0.000000	0.000000
5.444000E-6	0.216739	7.462120E-8	0.000000	0.000000	0.000000	5.476000E-6	0.018174	5.919332E-8	0.000000	0.000000	0.000000
5.440000E-6	0.185440	6.331395E-8	0.000000	0.000000	0.000000	5.468000E-6	0.013773	5.637254E-8	0.000000	0.000000	0.000000
5.424000E-6	0.286641	6.782781E-8	0.000000	0.000000	0.000000	5.464000E-6	0.016215	7.024771E-8	0.000000	0.000000	0.000000
5.416000E-6	0.320200	6.487934E-8	0.000000	0.000000	0.000000	5.448000E-6	0.014844	5.507129E-8	0.000000	0.000000	0.000000
5.416000E-6	0.346732	6.229206E-8	0.000000	0.000000	0.000000	5.448000E-6	0.013306	7.733631E-8	0.000000	0.000000	0.000000
5.424000E-6	0.306171	6.425491E-8	0.000000	0.000000	0.000000	5.452000E-6	0.026456	6.249033E-8	0.000000	0.000000	0.000000
5.428000E-6	0.285667	6.642092E-8	0.000000	0.000000	0.000000	5.468000E-6	0.012470	6.184632E-8	0.000000	0.000000	0.000000
5.428000E-6	0.264475	6.224787E-8	0.000000	0.000000	0.000000	5.452000E-6	0.022466	6.658562E-8	0.000000	0.000000	0.000000
5.420000E-6	0.334416	6.765887E-8	0.000000	0.000000	0.000000	5.436000E-6	0.042816	6.326679E-8	0.000000	0.000000	0.000000
5.404000E-6	0.471915	6.414308E-8	0.000000	0.000000	0.000000	5.436000E-6	0.026183	6.453527E-8	0.000000	0.000000	0.000000
5.416000E-6	0.365747	6.399508E-8	0.000000	0.000000	0.000000	5.440000E-6	0.060410	6.655260E-8	0.000000	0.000000	0.000000
5.420000E-6	0.352200	7.500491E-8	0.000000	0.000000	0.000000	5.440000E-6	0.051841	6.514720E-8	0.000000	0.000000	0.000000
5.420000E-6	0.283402	6.589028E-8	0.000000	0.000000	0.000000	5.456000E-6	0.014818	6.287592E-8	0.000000	0.000000	0.000000
5.416000E-6	0.400476	6.165633E-8	0.000000	0.000000	0.000000	5.436000E-6	0.046357	6.860109E-8	0.000000	0.000000	0.000000
5.424000E-6	0.281344	6.290273E-8	0.000000	0.000000	0.000000	5.448000E-6	0.028119	6.888146E-8	0.000000	0.000000	0.000000
5.412000E-6	0.381839	7.076050E-8	0.000000	0.000000	0.000000	5.440000E-6	0.015654	6.359638E-8	0.000000	0.000000	0.000000
5.412000E-6	0.393616	6.357902E-8	0.000000	0.000000	0.000000	5.448000E-6	0.016429	5.717661E-8	0.000000	0.000000	0.000000
5.432000E-6	0.255744	6.721890E-8	0.000000	0.000000	0.000000	5.452000E-6	0.040775	7.013398E-8	0.000000	0.000000	0.000000
5.424000E-6	0.318459	6.217660E-8	0.000000	0.000000	0.000000	5.448000E-6	0.033935	7.436927E-8	0.000000	0.000000	0.000000
5.416000E-6	0.311867	6.698483E-8	0.000000	0.000000	0.000000	5.444000E-6	0.024856	8.523092E-8	0.000000	0.000000	0.000000
5.432000E-6	0.242043	6.912578E-8	0.000000	0.000000	0.000000	5.448000E-6	0.049976	6.848560E-8	0.000000	0.000000	0.000000
5.412000E-6	0.366235	7.287754E-8	0.000000	0.000000	0.000000	5.440000E-6	0.024092	6.567222E-8	0.000000	0.000000	0.000000
5.424000E-6	0.304514	6.620029E-8	0.000000	0.000000	0.000000	5.444000E-6	0.035539	6.834403E-8	0.000000	0.000000	0.000000
5.416000E-6	0.344838	6.642088E-8	0.000000	0.000000	0.000000	5.444000E-6	0.021345	7.555958E-8	0.000000	0.000000	0.000000
5.404000E-6	0.485164	6.829864E-8	0.000000	0.000000	0.000000	5.432000E-6	0.018159	6.310435E-8	0.000000	0.000000	0.000000
5.428000E-6	0.254326	6.697861E-8	0.000000	0.000000	0.000000	5.448000E-6	0.022077	6.293052E-8	0.000000	0.000000	0.000000
5.420000E-6	0.332392	6.650520E-8	0.000000	0.000000	0.000000	5.440000E-6	0.035699	6.463665E-8	0.000000	0.000000	0.000000
5.424000E-6	0.287351	6.500943E-8	0.000000	0.000000	0.000000	5.464000E-6	0.016341	6.119164E-8	0.000000	0.000000	0.000000
5.432000E-6	0.231628	6.540097E-8	0.000000	0.000000	0.000000	5.452000E-6	0.039951	6.594151E-8	0.000000	0.000000	0.000000
5.404000E-6	0.426238	6.637206E-8	0.000000	0.000000	0.000000	5.432000E-6	0.031838	7.033563E-8	0.000000	0.000000	0.000000
5.424000E-6	0.297963	6.927496E-8	0.000000	0.000000	0.000000	5.452000E-6	0.032806	7.832680E-8	0.000000	0.000000	0.000000
