Trigger Count=20958	Output Count=735	Elapsed Time=21:32.321	Number of Pulses CH0=1	Number of Pulses CH1=1
ate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.3500	Channel 0 threshold (V)=0.0425	Channel 1 threshold (V)=0.0200	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.412000E-6	0.356865	6.804999E-8	0.000000	0.000000	0.000000	5.436000E-6	0.021461	7.611076E-8	0.000000	0.000000	0.000000
5.424000E-6	0.290659	6.930669E-8	0.000000	0.000000	0.000000	5.448000E-6	0.020971	8.185635E-8	0.000000	0.000000	0.000000
5.428000E-6	0.272996	6.415044E-8	0.000000	0.000000	0.000000	2.357600E-5	0.028062	6.571201E-8	0.000000	0.000000	0.000000
5.412000E-6	0.405079	6.778384E-8	0.000000	0.000000	0.000000	5.436000E-6	0.014765	5.900829E-8	0.000000	0.000000	0.000000
5.400000E-6	0.479776	6.875854E-8	0.000000	0.000000	0.000000	5.436000E-6	0.034209	6.427787E-8	0.000000	0.000000	0.000000
5.428000E-6	0.266703	6.573504E-8	0.000000	0.000000	0.000000	5.460000E-6	0.013477	5.341580E-8	0.000000	0.000000	0.000000
5.420000E-6	0.291867	6.819346E-8	0.000000	0.000000	0.000000	5.444000E-6	0.041741	6.865850E-8	0.000000	0.000000	0.000000
5.420000E-6	0.303171	7.189825E-8	0.000000	0.000000	0.000000	5.440000E-6	0.037011	6.752124E-8	0.000000	0.000000	0.000000
5.432000E-6	0.237122	6.486351E-8	0.000000	0.000000	0.000000	5.460000E-6	0.012284	5.244540E-8	0.000000	0.000000	0.000000
5.436000E-6	0.230282	6.418292E-8	0.000000	0.000000	0.000000	5.448000E-6	0.063414	7.059020E-8	0.000000	0.000000	0.000000
5.432000E-6	0.208334	6.317803E-8	0.000000	0.000000	0.000000	5.460000E-6	0.015229	6.036460E-8	0.000000	0.000000	0.000000
5.424000E-6	0.262362	6.567918E-8	0.000000	0.000000	0.000000	5.448000E-6	0.021178	7.303587E-8	0.000000	0.000000	0.000000
5.408000E-6	0.403303	6.691659E-8	0.000000	0.000000	0.000000	5.432000E-6	0.039200	6.253888E-8	0.000000	0.000000	0.000000
5.428000E-6	0.245270	6.426228E-8	0.000000	0.000000	0.000000	5.452000E-6	0.028137	7.151259E-8	0.000000	0.000000	0.000000
5.416000E-6	0.427249	6.405976E-8	0.000000	0.000000	0.000000	5.436000E-6	0.036897	6.329638E-8	0.000000	0.000000	0.000000
5.416000E-6	0.369882	6.563429E-8	0.000000	0.000000	0.000000	5.444000E-6	0.022078	6.257128E-8	0.000000	0.000000	0.000000
5.424000E-6	0.296227	6.557952E-8	0.000000	0.000000	0.000000	5.448000E-6	0.033616	7.186790E-8	0.000000	0.000000	0.000000
5.432000E-6	0.244577	6.558443E-8	0.000000	0.000000	0.000000	5.452000E-6	0.043055	6.559908E-8	0.000000	0.000000	0.000000
5.428000E-6	0.287641	6.478892E-8	0.000000	0.000000	0.000000	5.448000E-6	0.033382	6.397778E-8	0.000000	0.000000	0.000000
5.412000E-6	0.410941	6.460420E-8	0.000000	0.000000	0.000000	5.432000E-6	0.034386	7.133273E-8	0.000000	0.000000	0.000000
5.416000E-6	0.294448	7.322480E-8	0.000000	0.000000	0.000000	5.440000E-6	0.023172	7.387155E-8	0.000000	0.000000	0.000000
5.416000E-6	0.339390	6.555611E-8	0.000000	0.000000	0.000000	5.440000E-6	0.043942	6.776900E-8	0.000000	0.000000	0.000000
5.432000E-6	0.209374	6.541954E-8	0.000000	0.000000	0.000000	5.464000E-6	0.013514	6.056925E-8	0.000000	0.000000	0.000000
5.424000E-6	0.255221	6.307995E-8	0.000000	0.000000	0.000000	5.444000E-6	0.038590	7.013834E-8	0.000000	0.000000	0.000000
5.412000E-6	0.412925	6.533264E-8	0.000000	0.000000	0.000000	5.444000E-6	0.014062	6.168231E-8	0.000000	0.000000	0.000000
5.420000E-6	0.286580	6.949785E-8	0.000000	0.000000	0.000000	5.440000E-6	0.044573	6.887571E-8	0.000000	0.000000	0.000000
5.412000E-6	0.394905	6.842528E-8	0.000000	0.000000	0.000000	5.436000E-6	0.038295	6.856064E-8	0.000000	0.000000	0.000000
