Trigger count = 	Output count = 
                             	                             
Min sample rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.3500	Channel 0 threshold (V)=0.0425	Channel 1 threshold (V)=0.0200	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=0.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.420000E-6	0.360936	7.439176E-8	0.000000	0.000000	0.000000	5.452000E-6	0.018649	6.240392E-8	0.000000	0.000000	0.000000
5.404000E-6	0.433160	7.312193E-8	0.000000	0.000000	0.000000	5.428000E-6	0.086854	7.059560E-8	0.000000	0.000000	0.000000
5.424000E-6	0.309336	6.251275E-8	0.000000	0.000000	0.000000	5.448000E-6	0.026348	6.590923E-8	0.000000	0.000000	0.000000
5.432000E-6	0.204583	6.062466E-8	0.000000	0.000000	0.000000	5.452000E-6	0.040885	6.644795E-8	0.000000	0.000000	0.000000
5.428000E-6	0.247916	6.027997E-8	0.000000	0.000000	0.000000	5.452000E-6	0.012858	5.770864E-8	0.000000	0.000000	0.000000
5.392000E-6	0.551648	7.912659E-8	0.000000	0.000000	0.000000	5.420000E-6	0.015441	5.736583E-8	0.000000	0.000000	0.000000
5.420000E-6	0.336174	7.009939E-8	0.000000	0.000000	0.000000	5.460000E-6	0.014199	6.032733E-8	0.000000	0.000000	0.000000
5.412000E-6	0.396240	7.254497E-8	0.000000	0.000000	0.000000	5.448000E-6	0.016378	5.727731E-8	0.000000	0.000000	0.000000
5.424000E-6	0.272353	6.489745E-8	0.000000	0.000000	0.000000	5.448000E-6	0.034808	6.396587E-8	0.000000	0.000000	0.000000
5.432000E-6	0.211811	6.487122E-8	0.000000	0.000000	0.000000	5.456000E-6	0.015331	5.691679E-8	0.000000	0.000000	0.000000
5.420000E-6	0.347587	6.657021E-8	0.000000	0.000000	0.000000	5.448000E-6	0.023406	5.953318E-8	0.000000	0.000000	0.000000
5.416000E-6	0.372572	6.116725E-8	0.000000	0.000000	0.000000	5.444000E-6	0.033839	6.271303E-8	0.000000	0.000000	0.000000
5.412000E-6	0.386091	6.638215E-8	0.000000	0.000000	0.000000	5.444000E-6	0.019632	7.091140E-8	0.000000	0.000000	0.000000
5.424000E-6	0.282560	6.405680E-8	0.000000	0.000000	0.000000	5.444000E-6	0.037123	6.414727E-8	0.000000	0.000000	0.000000
5.432000E-6	0.246760	6.383358E-8	0.000000	0.000000	0.000000	5.472000E-6	0.013364	6.071702E-8	0.000000	0.000000	0.000000
5.420000E-6	0.344610	7.119698E-8	0.000000	0.000000	0.000000	5.448000E-6	0.023251	7.127302E-8	0.000000	0.000000	0.000000
5.416000E-6	0.373238	6.593415E-8	0.000000	0.000000	0.000000	5.448000E-6	0.017831	6.318187E-8	0.000000	0.000000	0.000000
5.432000E-6	0.242664	5.995185E-8	0.000000	0.000000	0.000000	5.452000E-6	0.022003	7.045130E-8	0.000000	0.000000	0.000000
5.420000E-6	0.367044	6.450283E-8	0.000000	0.000000	0.000000	5.440000E-6	0.041760	6.641771E-8	0.000000	0.000000	0.000000
5.432000E-6	0.251725	6.719292E-8	0.000000	0.000000	0.000000	5.464000E-6	0.015791	6.328584E-8	0.000000	0.000000	0.000000
5.404000E-6	0.471516	6.687032E-8	0.000000	0.000000	0.000000	5.436000E-6	0.017257	7.030255E-8	0.000000	0.000000	0.000000
5.416000E-6	0.378938	6.567673E-8	0.000000	0.000000	0.000000	5.448000E-6	0.016472	6.589778E-8	0.000000	0.000000	0.000000
