Trigger Count=13636	Output Count=290	Elapsed Time=05:00.014	Number of Pulses CH0=2	Number of Pulses CH1=0
ate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1500	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.416000E-6	0.185771	6.527986E-8	7.272000E-6	0.017830	5.547004E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.099974	5.762370E-8	1.433600E-5	0.039156	5.758639E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.388000E-6	0.325917	6.622357E-8	6.560000E-6	0.018733	5.413044E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.508000E-6	0.350766	6.276156E-8	6.624000E-6	0.022040	5.596342E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.392000E-6	0.281636	6.656330E-8	6.912000E-6	0.027243	7.541234E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.235227	7.314001E-8	1.298800E-5	0.033080	6.113612E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.131100	7.159105E-8	7.140000E-6	0.097096	6.386774E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.126826	7.340549E-8	6.908000E-6	0.103385	5.878573E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.376000E-6	0.340619	7.289158E-8	6.728000E-6	0.045480	6.625544E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.086967	6.203888E-8	7.392000E-6	0.026495	5.497799E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.162190	6.194517E-8	6.644000E-6	0.032010	5.581143E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.492000E-6	0.174539	6.415025E-8	6.576000E-6	0.025188	7.791865E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.496000E-6	0.315439	6.625011E-8	7.988000E-6	0.041956	6.879594E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.448000E-6	0.061413	5.606640E-8	1.770800E-5	0.027554	5.396250E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.132340	6.459898E-8	1.911200E-5	0.030357	5.638273E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.116781	5.761097E-8	6.672000E-6	0.018619	5.654966E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.251292	6.166631E-8	6.572000E-6	0.020477	5.042852E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.480000E-6	0.195335	6.649408E-8	6.532000E-6	0.023512	5.518805E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.492000E-6	0.163043	6.274597E-8	6.792000E-6	0.036837	7.114433E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.179903	6.638705E-8	9.208000E-6	0.079257	6.471512E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.388000E-6	0.370873	6.726418E-8	6.568000E-6	0.026715	5.854698E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.235947	6.453523E-8	6.800000E-6	0.032361	5.544602E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.480000E-6	0.141425	6.045892E-8	6.780000E-6	0.026196	5.376691E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.512000E-6	0.379972	6.465999E-8	6.548000E-6	0.022405	5.760969E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.255058	5.882982E-8	1.235600E-5	0.148630	6.605887E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.320977	6.283092E-8	6.632000E-6	0.018857	5.519258E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.155580	6.534125E-8	6.584000E-6	0.017930	4.938336E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.508000E-6	0.328355	6.019901E-8	6.772000E-6	0.038450	5.520307E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.496000E-6	0.304400	6.370337E-8	1.999200E-5	0.162185	6.448912E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.186993	5.936981E-8	6.744000E-6	0.031382	5.504096E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.100310	6.091694E-8	2.718800E-5	0.233815	6.800490E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.271504	6.742915E-8	7.532000E-6	0.078068	5.970166E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.249494	6.374337E-8	6.648000E-6	0.025812	5.782253E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.268098	6.544375E-8	6.576000E-6	0.015271	5.001745E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.132504	6.769908E-8	3.604800E-5	0.157240	6.226206E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.400209	6.325760E-8	6.568000E-6	0.036124	5.622523E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.143864	6.416775E-8	2.234800E-5	0.255233	7.434886E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.151350	8.349368E-8	6.668000E-6	0.016227	5.364939E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000E-6	0.250375	6.699467E-8	6.880000E-6	0.017170	5.298555E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.360000E-6	0.379099	7.166933E-8	6.544000E-6	0.036403	5.624161E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.214013	7.257628E-8	8.300000E-6	0.017124	1.426374E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.128993	6.160654E-8	8.172000E-6	0.098076	6.857240E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.179123	6.593697E-8	6.652000E-6	0.033811	5.654979E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.242097	6.745194E-8	6.748000E-6	0.022160	5.766936E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.380000E-6	0.404661	6.617089E-8	6.524000E-6	0.029412	5.646514E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.388000E-6	0.209894	7.744289E-8	3.379200E-5	0.022687	5.288764E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.192833	5.545283E-8	3.224800E-5	0.024431	5.312588E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.158322	6.270664E-8	6.960000E-6	0.017542	5.334539E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.099495	6.945953E-8	6.976000E-6	0.063838	5.855599E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.107063	6.244871E-8	1.532400E-5	0.062354	5.757163E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.087431	6.467009E-8	6.876000E-6	0.050032	5.594181E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.099780	5.824397E-8	6.844000E-6	0.041310	5.698805E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.213196	6.707312E-8	6.748000E-6	0.017972	5.736726E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.249524	6.650834E-8	1.245600E-5	0.024078	5.563427E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.224151	6.331449E-8	6.680000E-6	0.019848	5.219881E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.130856	7.267831E-8	6.612000E-6	0.017557	5.849931E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.115139	6.523976E-8	6.700000E-6	0.023354	5.520279E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.254474	6.627251E-8	6.796000E-6	0.026656	5.833083E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.484000E-6	0.163440	6.232872E-8	2.763200E-5	0.016784	5.282881E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.153023	6.795560E-8	6.600000E-6	0.021993	5.386229E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000E-6	0.289287	6.147269E-8	6.532000E-6	0.020872	5.214670E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.132589	5.934399E-8	1.564800E-5	0.019359	5.358630E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.384000E-6	0.369041	6.535793E-8	6.612000E-6	0.020947	5.229758E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.169729	6.585753E-8	6.772000E-6	0.057427	6.073348E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.101668	5.978603E-8	6.732000E-6	0.017638	5.343775E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.261733	6.556995E-8	6.592000E-6	0.025374	5.815944E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.384000E-6	0.295584	7.138864E-8	6.500000E-6	0.022396	5.417265E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.091809	5.571054E-8	2.275600E-5	0.015119	5.308961E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.257542	6.344906E-8	7.232000E-6	0.089274	5.892362E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.132303	6.473856E-8	6.616000E-6	0.024508	5.888233E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000E-6	0.326720	6.336762E-8	9.536000E-6	0.229397	6.419316E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.134482	6.285116E-8	4.088000E-5	0.025290	5.748345E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.189819	6.226090E-8	1.100800E-5	0.111221	6.754877E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.129336	6.450726E-8	6.772000E-6	0.021348	5.641323E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.104937	6.070704E-8	2.522000E-5	0.024856	1.315131E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.197216	7.612514E-8	7.372000E-6	0.013918	5.422661E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.484000E-6	0.160525	6.971163E-8	6.604000E-6	0.017818	5.660768E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.104456	7.012603E-8	7.844000E-6	0.034206	5.948616E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.242147	6.237141E-8	6.976000E-6	0.025781	5.167234E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.476000E-6	0.154777	6.273607E-8	6.892000E-6	0.037046	5.660828E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.252862	6.565043E-8	6.784000E-6	0.022437	5.593723E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.119235	6.778339E-8	8.500000E-6	0.025050	5.843013E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.312000E-6	0.624093	9.580506E-8	6.524000E-6	0.026746	7.965320E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.305031	7.397181E-8	7.604000E-6	0.030386	5.353414E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.125696	6.066303E-8	4.174400E-5	0.249735	6.093590E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.181030	6.317240E-8	9.888000E-6	0.135454	6.032808E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.095997	6.386954E-8	6.636000E-6	0.022022	5.391564E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.157132	6.232875E-8	8.560000E-6	0.064194	6.947856E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.088506	5.883788E-8	6.628000E-6	0.022733	5.724202E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.484000E-6	0.224286	6.067129E-8	9.928000E-6	0.065547	7.511810E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.115465	5.882687E-8	6.600000E-6	0.028985	5.428750E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.206888	6.787585E-8	6.796000E-6	0.020696	5.504156E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.119377	6.147332E-8	7.040000E-6	0.023651	5.789862E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.180025	6.207550E-8	7.856000E-6	0.034779	5.656745E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.109958	6.139462E-8	6.628000E-6	0.017982	5.105373E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.148559	6.603309E-8	1.040000E-5	0.034833	5.887603E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.138103	6.299502E-8	7.136000E-6	0.023284	5.630744E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.132812	6.656423E-8	7.884000E-6	0.090849	6.143849E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.225490	6.734220E-8	8.116000E-6	0.092333	7.272285E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.150441	6.585380E-8	6.980000E-6	0.035356	6.471528E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.238954	6.309985E-8	7.544000E-6	0.080674	6.769142E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.504000E-6	0.298977	6.617092E-8	3.569600E-5	0.020599	5.298385E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.476000E-6	0.187151	6.064116E-8	6.776000E-6	0.022602	5.782053E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.196530	6.894043E-8	9.220000E-6	0.044470	6.656117E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.204985	6.552254E-8	6.616000E-6	0.019545	5.868499E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.265338	7.025352E-8	6.404000E-6	0.085697	6.109932E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.196201	6.220307E-8	7.392000E-6	0.044346	5.630114E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.131778	7.165549E-8	7.032000E-6	0.028577	5.657568E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.375384	6.186080E-8	7.184000E-6	0.023375	5.531883E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.097634	6.062501E-8	7.000000E-6	0.022623	5.701079E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.246943	6.895198E-8	7.556000E-6	0.045232	7.132194E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.224412	7.274940E-8	1.524800E-5	0.017442	6.066858E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.254207	6.337703E-8	6.592000E-6	0.020052	5.573055E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.496000E-6	0.313079	6.437050E-8	2.560000E-5	0.018222	1.492664E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.290732	6.171269E-8	7.636000E-6	0.022713	5.275926E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.484000E-6	0.245540	5.999707E-8	6.588000E-6	0.018461	5.485620E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.380000E-6	0.417149	6.462276E-8	6.648000E-6	0.019457	5.481678E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.156644	7.241234E-8	1.464000E-5	0.073076	6.267995E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.138364	6.014753E-8	7.964000E-6	0.072798	6.357704E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.127198	7.293323E-8	6.612000E-6	0.016955	4.949089E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.198818	6.410716E-8	6.728000E-6	0.028199	5.313208E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.484000E-6	0.152453	6.413706E-8	7.112000E-6	0.050583	6.053497E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.195370	6.453763E-8	7.708000E-6	0.022059	5.191133E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.233356	6.920609E-8	1.095600E-5	0.098226	6.113526E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.173372	6.322134E-8	6.888000E-6	0.016812	5.841284E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.153920	6.257177E-8	6.852000E-6	0.020971	5.426975E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.196036	6.948628E-8	7.404000E-6	0.052841	6.599486E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.492000E-6	0.341636	6.555479E-8	7.076000E-6	0.019216	5.544100E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.188723	6.190811E-8	7.604000E-6	0.082659	6.093078E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.229736	6.498606E-8	7.960000E-6	0.059539	6.536773E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.168655	6.121300E-8	6.780000E-6	0.055437	6.366700E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.380000E-6	0.418922	6.762102E-8	6.604000E-6	0.058866	7.015164E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.257531	6.057906E-8	6.916000E-6	0.018810	5.563068E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.212271	6.816013E-8	7.296000E-6	0.029193	5.574409E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.138968	6.169273E-8	7.392000E-6	0.039844	6.631844E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.476000E-6	0.084393	6.082891E-8	8.356000E-6	0.044162	5.616480E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.392000E-6	0.268362	6.909655E-8	7.820000E-6	0.068148	5.739285E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.114959	6.016314E-8	6.632000E-6	0.031971	5.782564E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.097607	6.312269E-8	6.628000E-6	0.016749	5.356458E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.176488	6.686017E-8	1.202800E-5	0.025346	5.987311E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.500000E-6	0.210170	6.925556E-8	6.764000E-6	0.027559	5.857058E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.089039	6.390087E-8	6.456000E-6	0.041794	5.987646E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.324474	6.207073E-8	7.532000E-6	0.042270	5.669739E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.091489	6.129750E-8	7.684000E-6	0.032229	5.866191E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.166954	6.031423E-8	7.296000E-6	0.020469	5.435831E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
