Trigger Count=13527	Output Count=302	Elapsed Time=05:00.040	Number of Pulses CH0=2	Number of Pulses CH1=0
ate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1500	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.408000E-6	0.231923	6.060368E-8	7.156000E-6	0.058493	6.730597E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.142363	6.559074E-8	8.996000E-6	0.015166	1.243379E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.100541	5.877001E-8	6.644000E-6	0.092583	6.663125E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.412000E-6	0.124675	6.939700E-8	1.118800E-5	0.044549	6.778286E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.120814	5.532353E-8	4.512400E-5	0.018092	7.697693E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.135016	6.675655E-8	6.680000E-6	0.071935	6.734983E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.492000E-6	0.217790	6.940960E-8	6.620000E-6	0.027090	5.680523E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.388000E-6	0.348840	6.867367E-8	6.532000E-6	0.022226	5.498204E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.484000E-6	0.230755	6.814563E-8	8.284000E-6	0.036990	7.498876E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.109250	5.908306E-8	6.636000E-6	0.027762	5.680177E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.436000E-6	0.097692	6.526328E-8	7.024000E-6	0.017392	5.604865E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.143138	6.211343E-8	6.652000E-6	0.020534	5.668099E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.270858	6.734222E-8	9.468000E-6	0.018529	5.348136E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.100987	6.215734E-8	6.608000E-6	0.023843	5.875635E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.488000E-6	0.227576	6.118400E-8	6.620000E-6	0.026110	5.628002E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.488000E-6	0.167152	5.934285E-8	6.604000E-6	0.019465	5.368593E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.203404	7.268803E-8	7.432000E-6	0.068466	5.787720E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.388000E-6	0.367454	6.800641E-8	6.596000E-6	0.017048	5.426804E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.480000E-6	0.252567	6.192213E-8	6.568000E-6	0.039522	5.501671E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.234428	6.289355E-8	7.672000E-6	0.019731	5.356270E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.106752	6.112896E-8	8.440000E-6	0.050843	6.266021E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.126778	6.344422E-8	6.712000E-6	0.033487	5.523884E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.204858	6.493977E-8	4.248000E-5	0.133521	5.816647E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.148896	6.546111E-8	7.120000E-6	0.090571	6.425435E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.169210	6.622000E-8	6.884000E-6	0.017708	5.578965E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.233732	6.833387E-8	8.292000E-6	0.039889	7.146238E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.488000E-6	0.155287	6.453708E-8	7.524000E-6	0.066777	6.798435E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.432000E-6	0.103333	8.322958E-8	6.684000E-6	0.019206	5.890146E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.340047	6.229696E-8	6.808000E-6	0.020200	5.642219E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.388000E-6	0.260067	7.008271E-8	6.512000E-6	0.033614	5.480505E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.125686	6.188564E-8	6.860000E-6	0.016462	5.204176E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.144590	7.130629E-8	8.640000E-6	0.081243	6.200155E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.115447	6.440923E-8	3.989200E-5	0.193535	6.364172E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.508000E-6	0.378240	6.431480E-8	6.632000E-6	0.038393	6.373793E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.129189	7.404774E-8	6.824000E-6	0.020489	5.309183E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.202180	6.989199E-8	6.956000E-6	0.095326	6.406052E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.238846	6.829951E-8	7.068000E-6	0.063261	6.213744E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
