Trigger Count=95278	Output Count=2179	Elapsed Time=35:00.004	Number of Pulses CH0=2	Number of Pulses CH1=0
te (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1500	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.396000E-6	0.261269	6.791959E-8	7.016000E-6	0.034543	5.476847E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.128975	6.753690E-8	6.964000E-6	0.021416	5.697952E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.150196	6.140904E-8	6.764000E-6	0.024076	5.568131E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.174938	6.030079E-8	7.356000E-6	0.016605	5.171678E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.384000E-6	0.324290	6.659786E-8	6.668000E-6	0.027977	5.149811E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.165457	6.983228E-8	2.470000E-5	0.138288	6.272422E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.516000E-6	0.432049	6.898959E-8	7.320000E-6	0.015345	5.294508E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.192846	7.080035E-8	6.916000E-6	0.016586	5.123723E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.300509	6.472581E-8	6.672000E-6	0.022425	5.632128E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.504000E-6	0.299239	6.604162E-8	6.544000E-6	0.027203	5.604977E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.245509	6.435037E-8	6.592000E-6	0.031058	5.813673E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.516000E-6	0.347460	6.490530E-8	6.656000E-6	0.035552	5.617414E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.429689	6.131936E-8	9.536000E-6	0.022397	5.806783E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.264316	6.305722E-8	8.268000E-6	0.071126	5.906436E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.440000E-6	0.086579	6.829417E-8	1.577600E-5	0.132393	6.485617E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.120066	6.278479E-8	6.624000E-6	0.024954	5.289751E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.170198	6.551660E-8	6.656000E-6	0.063137	5.741107E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.484000E-6	0.212541	6.146459E-8	8.792000E-6	0.127512	6.250827E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.207320	7.262259E-8	1.047200E-5	0.104068	6.375175E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.388000E-6	0.398963	6.473125E-8	6.912000E-6	0.036138	5.436194E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.124469	5.922448E-8	7.320000E-6	0.017442	5.621332E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.384000E-6	0.335290	6.665759E-8	8.828000E-6	0.032603	6.481927E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.124133	6.774563E-8	6.456000E-6	0.056405	6.786684E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.304457	6.188512E-8	7.004000E-6	0.026706	5.462699E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.396000E-6	0.276785	6.718645E-8	7.312000E-6	0.019527	5.947540E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.271901	6.346722E-8	6.796000E-6	0.019566	5.613379E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
