Trigger Count=519	Output Count=18	Elapsed Time=10.861	Number of Pulses CH0=2	Number of Pulses CH1=0
mple rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.1500	Channel 0 threshold (V)=0.0500	Channel 1 threshold (V)=0.0500	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.416000E-6	0.142630	6.085307E-8	6.668000E-6	0.035895	5.672337E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.128818	6.761933E-8	6.560000E-6	0.085105	5.663445E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.111033	6.993761E-8	8.184000E-6	0.035753	5.591981E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.237621	6.643506E-8	7.144000E-6	0.133300	6.320147E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.171572	6.177485E-8	8.116000E-6	0.091235	6.243566E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.108808	6.958590E-8	6.472000E-6	0.089423	5.932974E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.400000E-6	0.218093	7.271493E-8	6.620000E-6	0.023469	5.391255E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.131529	6.500656E-8	8.676000E-6	0.035236	5.521704E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.392000E-6	0.255432	7.340014E-8	6.572000E-6	0.017326	5.488541E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.125142	6.178329E-8	8.060000E-6	0.057530	6.270768E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.253959	6.404111E-8	6.780000E-6	0.025637	5.782410E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.428000E-6	0.153531	5.514652E-8	8.364000E-6	0.128807	5.958346E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.420000E-6	0.162386	6.027094E-8	6.476000E-6	0.031293	6.338046E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.408000E-6	0.236562	6.583395E-8	1.060400E-5	0.054123	6.023287E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.512000E-6	0.397719	6.252765E-8	6.584000E-6	0.032772	5.775244E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.424000E-6	0.115332	7.932490E-8	6.680000E-6	0.019742	5.679257E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.416000E-6	0.215151	6.264495E-8	1.274400E-5	0.059522	5.634442E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.404000E-6	0.201900	6.764364E-8	7.592000E-6	0.068976	6.625388E-8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
