Trigger Count=235	Output Count=161	Elapsed Time=04.673	Number of Pulses CH0=2	Number of Pulses CH1=0
ple rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.3000	Channel 0 threshold (V)=0.0250	Channel 1 threshold (V)=0.0200	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.452000E-6	0.458157	9.929825E-8	7.556000E-6	0.252961	1.039206E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.451506	9.922341E-8	7.556000E-6	0.252141	1.030032E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.456747	9.925822E-8	7.552000E-6	0.254490	1.029361E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.457041	9.918872E-8	7.556000E-6	0.252050	1.039002E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.450965	9.917794E-8	7.556000E-6	0.254108	1.036694E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.451120	9.952603E-8	7.552000E-6	0.255497	1.037487E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.456537	9.929992E-8	7.552000E-6	0.253901	1.037438E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.452257	9.857848E-8	7.556000E-6	0.253913	1.034712E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.457349	9.956146E-8	7.556000E-6	0.254960	1.039926E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.454841	9.975162E-8	7.552000E-6	0.253099	1.034137E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.451743	9.938819E-8	7.552000E-6	0.255716	1.039971E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.451360	9.882103E-8	7.556000E-6	0.255655	1.041411E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.456000E-6	0.456192	9.959525E-8	7.556000E-6	0.252751	1.035667E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.455833	9.899378E-8	7.556000E-6	0.254376	1.041147E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
