Trigger Count=6616	Output Count=55	Elapsed Time=02:12.271	Number of Pulses CH0=2	Number of Pulses CH1=0
 rate (Hz)=2.50E+8	Min record length=11364	Trigger level (V)=0.3000	Channel 0 threshold (V)=0.0250	Channel 1 threshold (V)=0.0200	Range (microseconds)=40.0000	Pulse 2 delay (microseconds)=1.0000	Lower cut-off frequency (Hz)=1.00E+6
                             	                             
Ch0_time1 (s)	Ch0_amp1 (V)	Ch0_width1 (s)	Ch0_time2 (s)	Ch0_amp2 (V)	Ch0_width2 (s)	Ch1_time1 (s)	Ch1_amp1 (V)	Ch1_width1 (s)	Ch1_time2 (s)	Ch1_amp2 (V)	Ch1_width2 (s)
5.452000E-6	0.342667	1.065363E-7	3.655200E-5	0.152058	1.020634E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340964	1.058182E-7	3.655200E-5	0.150995	1.022190E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.341140	1.065226E-7	3.655200E-5	0.152636	1.027815E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340814	1.066431E-7	3.655200E-5	0.150620	1.015367E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.341762	1.062400E-7	3.655200E-5	0.151759	1.016648E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340294	1.051253E-7	3.655200E-5	0.153012	1.022150E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.339915	1.059970E-7	3.655200E-5	0.150716	1.018722E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.339115	1.061290E-7	3.655600E-5	0.153829	1.023912E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.337818	1.061325E-7	3.655200E-5	0.152654	1.028174E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340910	1.069117E-7	3.655200E-5	0.150554	1.020389E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340571	1.065763E-7	3.655200E-5	0.151187	1.014512E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.341074	1.063491E-7	3.655200E-5	0.153159	1.017719E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.341413	1.063255E-7	3.655200E-5	0.151331	1.031354E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.341259	1.066572E-7	3.655200E-5	0.151488	1.021177E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.311818	1.017142E-7	3.655200E-5	0.150126	1.013488E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.341238	1.060814E-7	3.655200E-5	0.153185	1.028536E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.310700	1.021148E-7	3.655200E-5	0.154383	1.012287E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340009	1.058786E-7	3.655200E-5	0.149462	1.023290E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.341127	1.061399E-7	3.655200E-5	0.152135	1.015834E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340423	1.060992E-7	3.655200E-5	0.152719	1.018348E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.339093	1.061344E-7	3.655200E-5	0.150165	1.019557E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.342023	1.064130E-7	3.655200E-5	0.151227	1.019971E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340023	1.065511E-7	3.655200E-5	0.151472	1.017622E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.339779	1.057091E-7	3.655200E-5	0.153379	1.027979E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340763	1.060664E-7	3.655200E-5	0.152246	1.031044E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340565	1.066849E-7	3.655200E-5	0.154044	1.019854E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.339695	1.065000E-7	3.655200E-5	0.151159	1.017624E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.340659	1.068026E-7	3.655200E-5	0.151080	1.023322E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5.452000E-6	0.341897	1.061908E-7	3.655200E-5	0.152339	1.028028E-7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
