Wed, Apr 02, 2025
2:01:36 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
95.9950000	-1318.9000244	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0021032	0.0021705	0.0025401	0.0021463	-0.0021185	-0.0029360	-0.0038083	-0.0026672
97.2850000	-40.8400002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0017211	0.0017255	-0.0001730	-0.0004823	-0.0018111	-0.0024506	-0.0010164	-0.0000616
98.6300000	1307.7000732	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0021679	0.0021638	-0.0029698	-0.0034479	-0.0022272	-0.0028772	0.0017605	0.0028987
100.2100000	-1322.1999512	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0021993	0.0023583	0.0026213	0.0021534	-0.0022622	-0.0031107	-0.0038626	-0.0026685
101.5500000	-40.8499985	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0018662	0.0019036	-0.0001376	-0.0005024	-0.0019656	-0.0026271	-0.0010433	-0.0000275
102.8150000	1306.0999756	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0023152	0.0023455	-0.0029672	-0.0035002	-0.0023820	-0.0030640	0.0017785	0.0029728
104.5250000	-1322.1999512	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0023564	0.0025521	0.0027014	0.0021682	-0.0024343	-0.0033052	-0.0039210	-0.0026688
105.9250000	-40.7599983	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0020302	0.0020981	-0.0000959	-0.0005213	-0.0021220	-0.0028176	-0.0010618	0.0000065
107.2350000	1305.5000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0024876	0.0025471	-0.0029671	-0.0035662	-0.0025594	-0.0032588	0.0017931	0.0030443
108.7900000	-1322.1999512	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0025249	0.0027592	0.0027807	0.0021820	-0.0025974	-0.0035027	-0.0039851	-0.0026739
110.0650000	-40.8499985	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0021942	0.0022889	-0.0000674	-0.0005473	-0.0022947	-0.0030127	-0.0010886	0.0000390
111.3200000	1305.0999756	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0026506	0.0027422	-0.0029719	-0.0036282	-0.0027286	-0.0034522	0.0018123	0.0031228
112.8600000	-1322.1000977	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0026959	0.0029640	0.0028619	0.0021956	-0.0027737	-0.0037012	-0.0040467	-0.0026797
114.1450000	-40.7999992	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0023663	0.0024937	-0.0000314	-0.0005731	-0.0024631	-0.0032130	-0.0011147	0.0000745
115.4000000	1304.7000732	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0028285	0.0029531	-0.0029759	-0.0037008	-0.0029072	-0.0036622	0.0018292	0.0032019
116.9700000	-1322.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0028784	0.0031852	0.0029520	0.0022148	-0.0029558	-0.0039110	-0.0041203	-0.0026946
118.3950000	-40.6899986	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0025563	0.0027252	0.0000156	-0.0006082	-0.0026532	-0.0034360	-0.0011443	0.0001111
119.7500000	1304.4000244	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0030221	0.0031822	-0.0029839	-0.0037860	-0.0031085	-0.0038951	0.0018473	0.0032902
121.2950000	-1321.9000244	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0030752	0.0034215	0.0030350	0.0022240	-0.0031650	-0.0041563	-0.0042027	-0.0027123
122.5900000	-40.7200012	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027500	0.0029541	0.0000548	-0.0006385	-0.0028569	-0.0036706	-0.0011786	0.0001446
123.8550000	1304.1000977	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0032217	0.0034186	-0.0029866	-0.0038676	-0.0033051	-0.0041253	0.0018676	0.0033752
125.4550000	-1321.8000488	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0032733	0.0036669	0.0031300	0.0022390	-0.0033688	-0.0043962	-0.0042836	-0.0027222
126.7400000	-40.7500000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0029620	0.0032074	0.0000970	-0.0006698	-0.0030601	-0.0039089	-0.0012106	0.0001860
128.0050000	1304.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034253	0.0036676	-0.0029947	-0.0039573	-0.0035181	-0.0043693	0.0018811	0.0034651
129.5650000	-1321.6999512	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034881	0.0039225	0.0032258	0.0022520	-0.0035774	-0.0046449	-0.0043637	-0.0027325
130.9400000	-40.7299995	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0031707	0.0034624	0.0001419	-0.0007172	-0.0032819	-0.0041738	-0.0012486	0.0002259
132.2300000	1303.7999268	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0036485	0.0039367	-0.0029998	-0.0040472	-0.0037365	-0.0046272	0.0019013	0.0035625
133.9400000	-1321.5000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037131	0.0042016	0.0033364	0.0022651	-0.0038156	-0.0049143	-0.0044503	-0.0027372
135.3650000	-40.7000008	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034109	0.0037519	0.0002010	-0.0007558	-0.0035241	-0.0044545	-0.0012881	0.0002709
136.6300000	1303.6999512	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0038856	0.0042213	-0.0030028	-0.0041502	-0.0039857	-0.0049153	0.0019114	0.0036617
138.1950000	-1321.5000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039493	0.0044886	0.0034398	0.0022701	-0.0040563	-0.0052026	-0.0045501	-0.0027515
139.5000000	-40.7000008	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0036493	0.0040372	0.0002480	-0.0007981	-0.0037612	-0.0047346	-0.0013280	0.0003159
140.9150000	1303.5000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0041236	0.0045110	-0.0030030	-0.0042464	-0.0042323	-0.0052015	0.0019298	0.0037678
