Fri, Apr 04, 2025
3:43:48 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0700000	-2619.8999023	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0225231	0.0279535	0.0585256	0.0504380	-0.0226395	-0.0286701	-0.0595731	-0.0511312
97.2900000	-59.8499985	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0169770	0.0197225	0.0040380	-0.0017052	-0.0171155	-0.0203326	-0.0049327	0.0009966
98.6150000	2573.1000977	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0239245	0.0265160	-0.0500733	-0.0587255	-0.0240703	-0.0271402	0.0492048	0.0580210
100.1650000	-2603.6999512	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0240850	0.0299329	0.0589397	0.0500799	-0.0242293	-0.0306375	-0.0599326	-0.0507659
101.4300000	-40.9300003	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0183790	0.0213716	0.0038014	-0.0024455	-0.0185337	-0.0219939	-0.0046933	0.0017535
102.7400000	2568.2001953	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0256122	0.0284990	-0.0498854	-0.0591337	-0.0257706	-0.0291331	0.0490275	0.0584499
104.3400000	-2599.6999512	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0258529	0.0320339	0.0594350	0.0499494	-0.0260205	-0.0327452	-0.0604160	-0.0506281
105.7350000	-39.0299988	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0199695	0.0232482	0.0040422	-0.0027599	-0.0201539	-0.0238946	-0.0049266	0.0020786
107.1300000	2567.5000000	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0275008	0.0307246	-0.0498098	-0.0597489	-0.0276884	-0.0313789	0.0489613	0.0590840
108.6700000	-2598.0998535	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0277494	0.0343499	0.0601246	0.0498506	-0.0279314	-0.0350614	-0.0610847	-0.0505312
109.9550000	-38.4099998	0.0001000	0.0001000	0.0001000	0.0001000	-0.0001000	-0.0001000	-0.0001000	-0.0001000	0.0216406	0.0252728	0.0043873	-0.0031081	-0.0218375	-0.0259169	-0.0052599	0.0024271
