Mon, Apr 07, 2025
1:00:58 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.0950000	-1970.5000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0037204	0.0039274	0.0046953	0.0034888	-0.0037299	-0.0045055	-0.0052999	-0.0039673
97.4400000	-41.2099991	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0026248	0.0031438	0.0003308	-0.0006474	-0.0031928	-0.0037134	-0.0009257	0.0001561
98.8350000	1947.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0032809	0.0038046	-0.0039565	-0.0052115	-0.0038414	-0.0043611	0.0033697	0.0047130
100.3600000	-1969.5999756	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0032941	0.0040769	0.0047403	0.0034899	-0.0038629	-0.0046629	-0.0053521	-0.0039633
101.6500000	-40.4900017	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027491	0.0032887	0.0003517	-0.0006672	-0.0033139	-0.0038597	-0.0009451	0.0001824
102.9900000	1944.5999756	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034047	0.0039531	-0.0039578	-0.0052569	-0.0039677	-0.0045133	0.0033722	0.0047707
104.5300000	-1969.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034244	0.0042308	0.0047975	0.0034971	-0.0039905	-0.0048147	-0.0054002	-0.0039594
105.8000000	-40.2599983	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0028792	0.0034425	0.0003799	-0.0006896	-0.0034402	-0.0040135	-0.0009706	0.0002107
107.1600000	1943.5000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035441	0.0041137	-0.0039549	-0.0053040	-0.0041001	-0.0046726	0.0033841	0.0048323
108.7650000	-1968.5999756	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035639	0.0044017	0.0048587	0.0035071	-0.0041319	-0.0049821	-0.0054533	-0.0039676
110.1850000	-40.0099983	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0030228	0.0036146	0.0004130	-0.0007163	-0.0035838	-0.0041830	-0.0009962	0.0002367
111.4950000	1942.7000732	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0036928	0.0042889	-0.0039653	-0.0053714	-0.0042562	-0.0048523	0.0033894	0.0048898
113.0900000	-1968.0999756	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037183	0.0045846	0.0049280	0.0035111	-0.0042793	-0.0051654	-0.0055199	-0.0039758
114.5150000	-39.9599991	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0031708	0.0037937	0.0004353	-0.0007510	-0.0037401	-0.0043687	-0.0010249	0.0002628
115.7800000	1942.1999512	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0038499	0.0044769	-0.0039660	-0.0054385	-0.0044102	-0.0050387	0.0033969	0.0049544
117.3350000	-1967.8000488	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0038808	0.0047729	0.0049961	0.0035172	-0.0044408	-0.0053567	-0.0055869	-0.0039873
118.7450000	-39.8699989	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0033316	0.0039781	0.0004689	-0.0007763	-0.0038971	-0.0045529	-0.0010543	0.0002918
120.0900000	1941.5000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0040092	0.0046639	-0.0039788	-0.0055079	-0.0045741	-0.0052328	0.0034028	0.0050252
121.6350000	-1967.3999023	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0040372	0.0049655	0.0050611	0.0035221	-0.0046079	-0.0055617	-0.0056616	-0.0039983
122.9050000	-39.8100014	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034916	0.0041686	0.0004936	-0.0008135	-0.0040598	-0.0047541	-0.0010944	0.0003215
124.1850000	1941.2000732	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0041772	0.0048562	-0.0039893	-0.0055808	-0.0047374	-0.0054344	0.0034043	0.0050920
125.7550000	-1967.2000732	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042057	0.0051641	0.0051307	0.0035301	-0.0047707	-0.0057636	-0.0057389	-0.0040018
127.1850000	-39.6599998	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0036642	0.0043642	0.0005221	-0.0008398	-0.0042258	-0.0049605	-0.0011290	0.0003548
128.5900000	1940.9000244	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0043534	0.0050588	-0.0040038	-0.0056562	-0.0049116	-0.0056457	0.0034061	0.0051718
130.3100000	-1966.9000244	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0043934	0.0053787	0.0051996	0.0035372	-0.0049491	-0.0059873	-0.0058248	-0.0040099
131.5950000	-39.6399994	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0038530	0.0045807	0.0005499	-0.0008762	-0.0044050	-0.0051833	-0.0011734	0.0003897
133.0150000	1940.6000977	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0045444	0.0052694	-0.0040213	-0.0057376	-0.0050945	-0.0058773	0.0034044	0.0052476
134.7100000	-1966.6999512	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0045782	0.0055931	0.0052681	0.0035406	-0.0051374	-0.0062235	-0.0059178	-0.0040236
