Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
96.1100000	56.8400002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0016965	0.0017240	-0.0003262	-0.0007369	-0.0017143	-0.0022668	-0.0006443	0.0001110
97.3650000	56.8499985	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0017408	0.0017721	-0.0003198	-0.0007439	-0.0017560	-0.0023160	-0.0006527	0.0001191
98.6150000	56.8400002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0017830	0.0018283	-0.0003103	-0.0007510	-0.0018013	-0.0023735	-0.0006614	0.0001295
100.2750000	56.8400002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0018369	0.0018885	-0.0002965	-0.0007585	-0.0018615	-0.0024396	-0.0006639	0.0001471
101.6800000	56.8400002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0018841	0.0019476	-0.0002871	-0.0007726	-0.0019143	-0.0025005	-0.0006752	0.0001511
102.9300000	56.8400002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0019333	0.0020065	-0.0002781	-0.0007781	-0.0019593	-0.0025541	-0.0006833	0.0001657
104.6150000	56.8400002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0019915	0.0020828	-0.0002649	-0.0007830	-0.0020247	-0.0026248	-0.0006898	0.0001798
105.9950000	56.8400002	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0020402	0.0021409	-0.0002523	-0.0007926	-0.0020756	-0.0026884	-0.0006961	0.0001920
107.3900000	56.8300018	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0020976	0.0022106	-0.0002402	-0.0008033	-0.0021354	-0.0027509	-0.0007047	0.0002041
108.9650000	56.8300018	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0021585	0.0022870	-0.0002274	-0.0008125	-0.0021986	-0.0028262	-0.0007118	0.0002201
