Fri, Apr 04, 2025
2:15:26 PM

Temperature (K)	B-Field (Gauss)	sample I AB	sample I AD	sample I AC	sample I BD	sample I -AB	sample I -AD	sample I -AC	sample I -BD	Voltage DC	Voltage BC	Voltage BD	Voltage AC	Voltage -DC	Voltage -BC	Voltage -BD	Voltage -AC	
95.8950000	-3903.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0024047	0.0028003	0.0079845	0.0074551	-0.0024225	-0.0036065	-0.0095310	-0.0081661
97.1750000	-30.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0017994	0.0017240	-0.0003032	-0.0006112	-0.0017488	-0.0024550	-0.0010747	-0.0001369
98.4450000	3894.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027300	0.0025913	-0.0084635	-0.0091705	-0.0026061	-0.0032866	0.0070596	0.0083651
100.1050000	-3911.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0027272	0.0030226	0.0080969	0.0074686	-0.0026049	-0.0038283	-0.0096091	-0.0081732
101.4000000	-30.7800007	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0019454	0.0018974	-0.0002648	-0.0006251	-0.0018958	-0.0026203	-0.0010910	-0.0001070
102.6400000	3894.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0029064	0.0028070	-0.0084500	-0.0092216	-0.0028010	-0.0035004	0.0070650	0.0084366
104.3400000	-3911.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0029098	0.0032555	0.0081777	0.0074713	-0.0027991	-0.0040469	-0.0096548	-0.0081579
105.7250000	-30.8899994	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0021003	0.0020889	-0.0002259	-0.0006444	-0.0020559	-0.0028070	-0.0011123	-0.0000706
107.0500000	3893.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0031048	0.0030450	-0.0084301	-0.0092777	-0.0030042	-0.0037341	0.0070745	0.0085160
108.6000000	-3910.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0031080	0.0035002	0.0082549	0.0074679	-0.0030093	-0.0042862	-0.0097121	-0.0081533
109.8400000	-30.7700005	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0022638	0.0022827	-0.0001919	-0.0006756	-0.0022267	-0.0030074	-0.0011397	-0.0000430
111.2200000	3892.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0033004	0.0032821	-0.0084199	-0.0093419	-0.0032168	-0.0039771	0.0070750	0.0085880
112.8600000	-3907.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0033101	0.0037575	0.0083432	0.0074605	-0.0032305	-0.0045367	-0.0097702	-0.0081428
114.2950000	-30.8899994	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0024455	0.0025037	-0.0001470	-0.0007040	-0.0024155	-0.0032244	-0.0011679	-0.0000112
115.6000000	3890.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035224	0.0035448	-0.0084031	-0.0094117	-0.0034487	-0.0042409	0.0070715	0.0086617
117.1550000	-3906.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035318	0.0040255	0.0084219	0.0074534	-0.0034567	-0.0048011	-0.0098281	-0.0081338
118.5900000	-30.8299999	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0026355	0.0027323	-0.0001087	-0.0007332	-0.0026072	-0.0034450	-0.0011909	0.0000313
119.9500000	3889.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037511	0.0038201	-0.0083825	-0.0094807	-0.0036823	-0.0045136	0.0070722	0.0087475
121.5200000	-3905.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037700	0.0043173	0.0085174	0.0074494	-0.0036948	-0.0050764	-0.0098955	-0.0081153
122.8250000	-30.8799992	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0028397	0.0029750	-0.0000668	-0.0007678	-0.0028113	-0.0036853	-0.0012264	0.0000691
124.0850000	3888.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039807	0.0040910	-0.0083621	-0.0095527	-0.0039188	-0.0047856	0.0070701	0.0088278
125.6400000	-3904.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0039957	0.0045986	0.0085946	0.0074355	-0.0039357	-0.0053548	-0.0099648	-0.0081088
127.0700000	-31.3899994	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0030390	0.0032179	-0.0000221	-0.0008057	-0.0030265	-0.0039371	-0.0012608	0.0001078
128.4350000	3887.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042242	0.0043919	-0.0083476	-0.0096358	-0.0041830	-0.0050854	0.0070606	0.0089114
130.0650000	-3902.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042520	0.0049075	0.0086871	0.0074192	-0.0042035	-0.0056636	-0.0100391	-0.0080907
131.4800000	-30.7299995	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0032654	0.0034944	0.0000329	-0.0008429	-0.0032653	-0.0042105	-0.0012964	0.0001548
132.8900000	3885.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0044831	0.0047085	-0.0083231	-0.0097159	-0.0044547	-0.0054063	0.0070569	0.0090042
134.4350000	-3901.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0045007	0.0052271	0.0087854	0.0074097	-0.0044804	-0.0059839	-0.0101161	-0.0080763
135.8750000	-30.9599991	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0035051	0.0037858	0.0000843	-0.0008894	-0.0035146	-0.0045027	-0.0013434	0.0002022
137.1350000	3884.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0047489	0.0050246	-0.0083031	-0.0098035	-0.0047271	-0.0057232	0.0070494	0.0090963
89.5300000	-3899.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0047712	0.0055582	0.0088859	0.0073989	-0.0047538	-0.0063060	-0.0101993	-0.0080636
140.0150000	-30.9200001	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0037435	0.0040735	0.0001380	-0.0009245	-0.0037509	-0.0047825	-0.0013771	0.0002529
141.3950000	3882.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0050179	0.0053578	-0.0082781	-0.0098873	-0.0050119	-0.0060490	0.0070460	0.0091980
142.9950000	-3898.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0050503	0.0059050	0.0090023	0.0073932	-0.0050443	-0.0066428	-0.0102842	-0.0080436
144.2800000	-30.9300003	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0040004	0.0043880	0.0002028	-0.0009689	-0.0040193	-0.0050883	-0.0014136	0.0003089
145.7250000	3881.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0053044	0.0057116	-0.0082588	-0.0099864	-0.0053138	-0.0064010	0.0070395	0.0093063
147.2750000	-3897.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0053399	0.0062626	0.0091123	0.0073829	-0.0053489	-0.0069978	-0.0103810	-0.0080310
148.5650000	-30.9300003	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0042697	0.0047155	0.0002538	-0.0010209	-0.0042974	-0.0054246	-0.0014712	0.0003581
149.8500000	3879.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0055918	0.0060528	-0.0082441	-0.0100851	-0.0056150	-0.0067513	0.0070359	0.0094161
151.4250000	-3895.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0056298	0.0066203	0.0092238	0.0073781	-0.0056455	-0.0073499	-0.0104735	-0.0080154
152.8350000	-30.8999996	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0045532	0.0050600	0.0003185	-0.0010733	-0.0045905	-0.0057647	-0.0015207	0.0004158
154.1150000	3879.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0058994	0.0064258	-0.0082274	-0.0101964	-0.0059266	-0.0071134	0.0070388	0.0095284
155.8500000	-3894.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0059315	0.0070064	0.0093597	0.0073632	-0.0059741	-0.0077255	-0.0105706	-0.0080102
